ID,Sex,Marital status,Age,Education,Income,Occupation,Settlement size,component 1,component 2,component 3,K-means PCA
100000001,0,0,67,2,124670,1,2,2.8597821390535194,0.9366759748670594,2.0365863159598034,2
100000002,1,1,22,1,150773,1,2,0.9441303775855198,0.3944921266519289,-2.4337850185902923,0
100000003,0,0,49,1,89210,0,0,-0.023032131332071045,-0.8817973984689385,1.9740826899814716,3
100000004,0,0,45,1,171565,1,1,2.21242246215932,-0.563616244627817,0.635332464085318,0
100000005,0,0,53,1,149031,1,1,2.110201537832414,-0.4251236150963166,1.1275433332354425,0
100000006,0,0,35,1,144848,0,0,0.3587899258548104,-1.0483041434764468,1.061327290217929,3
100000007,0,0,53,1,156495,1,1,2.2037944681038817,-0.39021643864822997,1.1038259032613777,0
100000008,0,0,35,1,193621,2,1,2.982598252760216,-0.6679206451071371,-0.49851001116034815,0
100000009,0,1,61,2,151591,0,0,0.8421635249881735,1.8046463495734613,1.8512834748012696,2
100000010,0,1,28,1,174646,2,0,1.6450975806054562,0.014481423933451566,-1.4511614126532282,0
100000011,1,1,25,1,108469,1,0,-0.6478936601218183,0.36716279980634364,-1.4918656945732631,1
100000012,1,1,24,1,127596,1,0,-0.42865620401924676,0.4255272006074034,-1.6060258778922407,1
100000013,1,1,22,1,108687,1,2,0.40307601395740167,0.20180464184112182,-2.294515744146401,1
100000014,0,0,60,2,89374,0,0,0.40052327754849837,0.5431876669530807,2.972903306889612,2
100000015,1,1,28,1,102899,1,1,-0.09251553396158539,0.39521057605237203,-1.6384137159822394,1
100000016,1,1,32,1,88428,0,0,-1.4670701738116616,0.39149807040189344,-0.51939464082059,1
100000017,0,0,53,1,125550,1,0,1.2455222913862878,-0.49365350692687654,1.5293872732164542,0
100000018,0,0,25,0,157434,1,2,1.9482197636163097,-2.3593621777971707,-1.1058611004034953,0
100000019,1,1,44,2,261952,2,2,3.7508459643284793,2.7639037173426035,-1.7574075405609293,2
100000020,0,0,31,0,144657,1,1,1.363871036181734,-2.198294130477823,-0.4270854559799041,0
100000021,0,0,48,1,118777,1,1,1.6010737715085592,-0.7137429856145261,0.9678842141047552,0
100000022,0,0,44,1,147511,1,1,1.8731099320438804,-0.7018914220476474,0.6654854628964522,0
100000023,0,0,48,1,89804,0,0,-0.050522603576118486,-0.9056555627901675,1.9247701658435759,3
100000024,0,0,44,1,134918,1,2,2.2712897248478843,-0.7976744580603891,0.3841525128487826,0
100000025,0,1,26,1,103667,1,2,1.0840344203625174,-0.5436810350064666,-1.4275354737325856,0
100000026,0,0,36,1,71909,0,0,-0.5563995442099919,-1.3517544722878903,1.355283946809853,3
100000027,0,1,39,1,68264,0,0,-0.908629631069412,-0.33328003662283495,0.5535386682784644,3
100000028,1,1,42,2,163025,1,1,1.1605398718001438,2.188973569797034,-0.6765521354029149,2
100000029,0,0,34,1,119307,1,1,1.2800574906874684,-1.134304044508519,0.23515235547781602,0
