Start Week,End Week,MMWRyear,MMWRweek,Jurisdiction,Age Group,COVID-19 Deaths,Pneumonia Deaths,Influenza Deaths
12/29/2019,01/04/2020,2020,1,United States,All Ages,0.0,4102.0,432.0
12/29/2019,01/04/2020,2020,1,United States,0-17 years,0.0,19.0,22.0
12/29/2019,01/04/2020,2020,1,United States,18-64 years,0.0,767.0,183.0
12/29/2019,01/04/2020,2020,1,United States,65 years and over,0.0,3316.0,227.0
12/29/2019,01/04/2020,2020,1,Alabama,All Ages,0.0,67.0,
12/29/2019,01/04/2020,2020,1,Alabama,0-17 years,0.0,0.0,0.0
12/29/2019,01/04/2020,2020,1,Alabama,18-64 years,0.0,13.0,
12/29/2019,01/04/2020,2020,1,Alabama,65 years and over,0.0,54.0,
12/29/2019,01/04/2020,2020,1,Alaska,All Ages,0.0,,
12/29/2019,01/04/2020,2020,1,Alaska,0-17 years,0.0,0.0,
12/29/2019,01/04/2020,2020,1,Alaska,18-64 years,0.0,,0.0
12/29/2019,01/04/2020,2020,1,Alaska,65 years and over,0.0,,0.0
12/29/2019,01/04/2020,2020,1,Arizona,All Ages,0.0,83.0,
12/29/2019,01/04/2020,2020,1,Arizona,0-17 years,0.0,0.0,0.0
12/29/2019,01/04/2020,2020,1,Arizona,18-64 years,0.0,12.0,
12/29/2019,01/04/2020,2020,1,Arizona,65 years and over,0.0,71.0,
12/29/2019,01/04/2020,2020,1,Arkansas,All Ages,0.0,57.0,
12/29/2019,01/04/2020,2020,1,Arkansas,0-17 years,0.0,0.0,0.0
12/29/2019,01/04/2020,2020,1,Arkansas,18-64 years,0.0,12.0,
12/29/2019,01/04/2020,2020,1,Arkansas,65 years and over,0.0,45.0,
12/29/2019,01/04/2020,2020,1,California,All Ages,0.0,465.0,43.0
12/29/2019,01/04/2020,2020,1,California,0-17 years,0.0,,
12/29/2019,01/04/2020,2020,1,California,18-64 years,0.0,81.0,18.0
12/29/2019,01/04/2020,2020,1,California,65 years and over,0.0,382.0,24.0
12/29/2019,01/04/2020,2020,1,Colorado,All Ages,0.0,47.0,
12/29/2019,01/04/2020,2020,1,Colorado,0-17 years,0.0,0.0,0.0
12/29/2019,01/04/2020,2020,1,Colorado,18-64 years,0.0,12.0,
12/29/2019,01/04/2020,2020,1,Colorado,65 years and over,0.0,35.0,
12/29/2019,01/04/2020,2020,1,Connecticut,All Ages,0.0,34.0,
12/29/2019,01/04/2020,2020,1,Connecticut,0-17 years,0.0,0.0,0.0
12/29/2019,01/04/2020,2020,1,Connecticut,18-64 years,0.0,,
12/29/2019,01/04/2020,2020,1,Connecticut,65 years and over,0.0,27.0,0.0
12/29/2019,01/04/2020,2020,1,Delaware,All Ages,0.0,11.0,0.0
12/29/2019,01/04/2020,2020,1,Delaware,0-17 years,0.0,0.0,0.0
12/29/2019,01/04/2020,2020,1,Delaware,18-64 years,0.0,,0.0
12/29/2019,01/04/2020,2020,1,Delaware,65 years and over,0.0,,0.0
12/29/2019,01/04/2020,2020,1,District of Columbia,All Ages,0.0,,
12/29/2019,01/04/2020,2020,1,District of Columbia,0-17 years,0.0,0.0,0.0
12/29/2019,01/04/2020,2020,1,District of Columbia,18-64 years,0.0,,0.0
12/29/2019,01/04/2020,2020,1,District of Columbia,65 years and over,0.0,,
12/29/2019,01/04/2020,2020,1,Florida,All Ages,0.0,246.0,31.0
12/29/2019,01/04/2020,2020,1,Florida,0-17 years,0.0,0.0,
12/29/2019,01/04/2020,2020,1,Florida,18-64 years,0.0,43.0,16.0
12/29/2019,01/04/2020,2020,1,Florida,65 years and over,0.0,203.0,14.0
12/29/2019,01/04/2020,2020,1,Georgia,All Ages,0.0,112.0,22.0
12/29/2019,01/04/2020,2020,1,Georgia,0-17 years,0.0,0.0,
12/29/2019,01/04/2020,2020,1,Georgia,18-64 years,0.0,29.0,
12/29/2019,01/04/2020,2020,1,Georgia,65 years and over,0.0,83.0,14.0
12/29/2019,01/04/2020,2020,1,Hawaii,All Ages,0.0,26.0,
12/29/2019,01/04/2020,2020,1,Hawaii,0-17 years,0.0,0.0,0.0
12/29/2019,01/04/2020,2020,1,Hawaii,18-64 years,0.0,,0.0
12/29/2019,01/04/2020,2020,1,Hawaii,65 years and over,0.0,20.0,
12/29/2019,01/04/2020,2020,1,Idaho,All Ages,0.0,19.0,
12/29/2019,01/04/2020,2020,1,Idaho,0-17 years,0.0,,0.0
12/29/2019,01/04/2020,2020,1,Idaho,18-64 years,0.0,,
12/29/2019,01/04/2020,2020,1,Idaho,65 years and over,0.0,16.0,
12/29/2019,01/04/2020,2020,1,Illinois,All Ages,0.0,146.0,
12/29/2019,01/04/2020,2020,1,Illinois,0-17 years,0.0,,
12/29/2019,01/04/2020,2020,1,Illinois,18-64 years,0.0,30.0,
12/29/2019,01/04/2020,2020,1,Illinois,65 years and over,0.0,115.0,
12/29/2019,01/04/2020,2020,1,Indiana,All Ages,0.0,118.0,13.0
12/29/2019,01/04/2020,2020,1,Indiana,0-17 years,0.0,,
12/29/2019,01/04/2020,2020,1,Indiana,18-64 years,0.0,16.0,
12/29/2019,01/04/2020,2020,1,Indiana,65 years and over,0.0,101.0,
12/29/2019,01/04/2020,2020,1,Iowa,All Ages,0.0,36.0,
12/29/2019,01/04/2020,2020,1,Iowa,0-17 years,0.0,,0.0
12/29/2019,01/04/2020,2020,1,Iowa,18-64 years,0.0,,
12/29/2019,01/04/2020,2020,1,Iowa,65 years and over,0.0,30.0,
12/29/2019,01/04/2020,2020,1,Kansas,All Ages,0.0,51.0,
12/29/2019,01/04/2020,2020,1,Kansas,0-17 years,0.0,0.0,
12/29/2019,01/04/2020,2020,1,Kansas,18-64 years,0.0,,
12/29/2019,01/04/2020,2020,1,Kansas,65 years and over,0.0,44.0,
12/29/2019,01/04/2020,2020,1,Kentucky,All Ages,0.0,93.0,10.0
12/29/2019,01/04/2020,2020,1,Kentucky,0-17 years,0.0,0.0,0.0
12/29/2019,01/04/2020,2020,1,Kentucky,18-64 years,0.0,21.0,
12/29/2019,01/04/2020,2020,1,Kentucky,65 years and over,0.0,72.0,
12/29/2019,01/04/2020,2020,1,Louisiana,All Ages,0.0,53.0,
12/29/2019,01/04/2020,2020,1,Louisiana,0-17 years,0.0,0.0,
12/29/2019,01/04/2020,2020,1,Louisiana,18-64 years,0.0,10.0,0.0
12/29/2019,01/04/2020,2020,1,Louisiana,65 years and over,0.0,43.0,
12/29/2019,01/04/2020,2020,1,Maine,All Ages,0.0,22.0,0.0
12/29/2019,01/04/2020,2020,1,Maine,0-17 years,0.0,0.0,0.0
12/29/2019,01/04/2020,2020,1,Maine,18-64 years,0.0,0.0,0.0
12/29/2019,01/04/2020,2020,1,Maine,65 years and over,0.0,22.0,0.0
12/29/2019,01/04/2020,2020,1,Maryland,All Ages,0.0,90.0,12.0
12/29/2019,01/04/2020,2020,1,Maryland,0-17 years,0.0,0.0,
12/29/2019,01/04/2020,2020,1,Maryland,18-64 years,0.0,21.0,
12/29/2019,01/04/2020,2020,1,Maryland,65 years and over,0.0,69.0,
12/29/2019,01/04/2020,2020,1,Massachusetts,All Ages,0.0,93.0,
12/29/2019,01/04/2020,2020,1,Massachusetts,0-17 years,0.0,0.0,0.0
